id,Gender,Course,Social_Support,Counseling_Service_Use,Family_History,Residence_Type
372,Female,Computer Science,High,Yes,Yes,On-Campus
377,Male,Business,High,No,No,On-Campus
378,Female,Others,Moderate,No,Yes,On-Campus
379,Male,Others,High,No,Yes,Off-Campus
381,Female,Others,Moderate,Yes,No,Off-Campus
385,Female,Computer Science,High,Yes,Yes,Off-Campus
389,Female,Computer Science,Moderate,Yes,No,Off-Campus
392,Female,Law,Moderate,No,Yes,Off-Campus
394,Male,Others,Moderate,No,No,Off-Campus
399,Male,Others,High,Yes,No,On-Campus
401,Male,Computer Science,Moderate,Yes,Yes,Off-Campus
403,Male,Law,Moderate,Yes,No,Off-Campus
405,Female,Law,Moderate,Yes,Yes,On-Campus
409,Female,Engineering,Moderate,Yes,No,On-Campus
412,Male,Others,High,Yes,No,Off-Campus
415,Male,Law,Low,No,No,Off-Campus
417,Male,Business,High,No,No,On-Campus
418,Male,Others,Moderate,No,No,Off-Campus
425,Female,Engineering,Moderate,No,No,On-Campus
428,Female,Engineering,Moderate,Yes,No,Off-Campus
430,Female,Law,Moderate,No,No,Off-Campus
432,Male,Engineering,Moderate,Yes,Yes,On-Campus
433,Male,Others,High,Yes,No,Off-Campus
434,Male,Engineering,Moderate,No,No,Off-Campus
436,Female,Business,Moderate,No,Yes,Off-Campus
438,Male,Engineering,High,Yes,No,On-Campus
439,Female,Computer Science,Moderate,No,Yes,On-Campus
440,Male,Others,High,No,No,Off-Campus
441,Female,Business,Moderate,Yes,No,Off-Campus
444,Male,Others,Moderate,Yes,Yes,Off-Campus
445,Female,Others,Moderate,No,No,On-Campus
448,Female,Others,Moderate,No,No,On-Campus
452,Female,Business,Moderate,No,No,Off-Campus
453,Female,Engineering,Low,No,No,On-Campus
454,Male,Others,Moderate,No,No,Off-Campus
455,Male,Others,High,No,No,Off-Campus
457,Female,Law,High,Yes,No,On-Campus
460,Female,Computer Science,Moderate,No,No,On-Campus
461,Female,Engineering,Moderate,Yes,Yes,Off-Campus
466,Female,Computer Science,Moderate,No,No,On-Campus
467,Male,Others,High,No,No,Off-Campus
472,Male,Law,High,No,Yes,On-Campus
476,Male,Business,High,No,No,Off-Campus
482,Female,Others,Moderate,Yes,No,On-Campus
484,Male,Law,Moderate,Yes,No,Off-Campus
487,Female,Computer Science,Moderate,Yes,Yes,Off-Campus
490,Male,Computer Science,Moderate,No,No,Off-Campus
491,Male,Law,High,No,No,Off-Campus
495,Male,Others,Moderate,Yes,No,Off-Campus
496,Female,Law,Moderate,No,No,On-Campus
497,Male,Computer Science,High,Yes,Yes,On-Campus
498,Male,Law,High,No,No,On-Campus
499,Male,Law,Moderate,No,Yes,Off-Campus
506,Male,Law,Low,No,No,On-Campus
508,Male,Law,Moderate,Yes,No,Off-Campus
516,Female,Business,Moderate,No,Yes,Off-Campus
521,Female,Engineering,High,Yes,Yes,Off-Campus
525,Male,Law,Moderate,Yes,No,Off-Campus
526,Female,Others,Moderate,Yes,No,On-Campus
527,Male,Law,Moderate,No,Yes,Off-Campus
528,Female,Law,Moderate,No,No,On-Campus
532,Female,Business,High,Yes,No,On-Campus
537,Male,Business,High,No,Yes,On-Campus
538,Female,Law,Low,No,No,On-Campus
540,Male,Others,High,Yes,No,On-Campus
544,Male,Others,High,Yes,No,On-Campus
548,Female,Law,Moderate,No,No,Off-Campus
549,Male,Law,Low,Yes,No,Off-Campus
554,Female,Law,High,No,No,Off-Campus
555,Female,Engineering,Low,No,Yes,Off-Campus
556,Female,Computer Science,Moderate,No,No,Off-Campus
557,Female,Engineering,High,No,Yes,On-Campus
562,Female,Engineering,High,Yes,No,On-Campus
564,Male,Others,Moderate,No,No,On-Campus
565,Female,Others,Moderate,No,No,Off-Campus
567,Female,Others,Moderate,Yes,No,On-Campus
568,Female,Business,Moderate,No,No,On-Campus
569,Male,Business,Moderate,No,Yes,Off-Campus
571,Male,Engineering,Low,No,Yes,Off-Campus
572,Female,Computer Science,Moderate,No,No,Off-Campus
575,Female,Law,Moderate,No,No,On-Campus
576,Female,Law,High,Yes,No,Off-Campus
577,Female,Others,Moderate,No,No,On-Campus
578,Female,Engineering,Moderate,No,Yes,On-Campus
581,Female,Law,Moderate,No,No,On-Campus
582,Female,Others,Moderate,Yes,No,On-Campus
586,Female,Business,Moderate,No,Yes,Off-Campus
587,Female,Engineering,Moderate,Yes,No,Off-Campus
589,Female,Engineering,Low,Yes,No,Off-Campus
590,Male,Computer Science,Low,Yes,No,On-Campus
591,Male,Law,Moderate,Yes,No,Off-Campus
595,Male,Law,Moderate,Yes,Yes,On-Campus
596,Male,Computer Science,Low,No,No,On-Campus
598,Male,Computer Science,High,No,No,Off-Campus
600,Female,Computer Science,Low,No,No,On-Campus
603,Female,Business,Low,No,No,Off-Campus
608,Male,Engineering,High,Yes,No,Off-Campus
609,Female,Others,High,Yes,No,Off-Campus
616,Female,Business,Moderate,Yes,No,On-Campus
620,Male,Law,Moderate,No,No,On-Campus
621,Male,Law,Moderate,Yes,No,On-Campus
622,Female,Engineering,Low,No,No,On-Campus
624,Female,Computer Science,High,Yes,No,On-Campus
628,Female,Law,Moderate,No,No,On-Campus
630,Male,Others,Moderate,No,No,Off-Campus
637,Female,Engineering,High,No,No,On-Campus
639,Male,Law,Moderate,Yes,No,Off-Campus
640,Male,Law,Low,No,No,Off-Campus
642,Male,Law,Moderate,No,No,On-Campus
644,Female,Law,Moderate,Yes,No,On-Campus
645,Male,Law,Moderate,No,No,On-Campus
649,Female,Business,High,No,No,Off-Campus
651,Female,Law,Low,No,Yes,On-Campus
655,Male,Engineering,Moderate,Yes,No,Off-Campus
656,Male,Law,High,Yes,No,On-Campus
662,Female,Law,Moderate,No,Yes,On-Campus
663,Female,Law,Moderate,No,No,On-Campus
664,Female,Engineering,Moderate,Yes,No,Off-Campus
667,Female,Law,High,No,Yes,Off-Campus
668,Female,Law,Moderate,Yes,No,On-Campus
669,Female,Computer Science,Moderate,Yes,No,On-Campus
678,Female,Computer Science,Moderate,Yes,No,Off-Campus
681,Male,Law,Moderate,Yes,No,On-Campus
682,Male,Law,Low,No,Yes,On-Campus
685,Female,Engineering,Moderate,No,No,On-Campus
686,Female,Computer Science,Moderate,Yes,No,On-Campus
689,Female,Law,Moderate,No,Yes,On-Campus
690,Male,Computer Science,Low,Yes,Yes,On-Campus
692,Male,Engineering,High,Yes,No,Off-Campus
698,Male,Business,Moderate,No,No,Off-Campus
699,Male,Law,High,Yes,No,Off-Campus
700,Female,Law,High,No,No,On-Campus
701,Male,Business,High,No,No,Off-Campus
702,Female,Law,High,Yes,No,Off-Campus
704,Female,Engineering,Moderate,Yes,No,On-Campus
705,Female,Law,High,Yes,No,On-Campus
708,Female,Law,High,Yes,Yes,On-Campus
711,Female,Computer Science,Moderate,Yes,Yes,Off-Campus
712,Male,Law,Moderate,No,No,On-Campus
715,Male,Engineering,Moderate,No,Yes,On-Campus
717,Female,Others,Moderate,Yes,No,Off-Campus
718,Male,Engineering,Moderate,Yes,No,Off-Campus
719,Female,Business,Moderate,No,No,Off-Campus
721,Female,Law,Moderate,No,Yes,Off-Campus
724,Male,Law,Moderate,No,No,On-Campus
729,Male,Engineering,Moderate,No,No,Off-Campus
730,Male,Business,Moderate,Yes,No,Off-Campus
731,Female,Others,Moderate,No,No,Off-Campus
732,Female,Business,Moderate,No,Yes,On-Campus
737,Female,Computer Science,Moderate,No,No,Off-Campus
739,Male,Law,Moderate,No,Yes,Off-Campus
743,Female,Law,Moderate,Yes,No,Off-Campus
746,Female,Computer Science,High,No,Yes,Off-Campus
747,Male,Computer Science,High,No,No,On-Campus
749,Male,Computer Science,Moderate,Yes,No,On-Campus
751,Male,Others,Moderate,No,No,Off-Campus
755,Female,Law,Moderate,No,Yes,Off-Campus
759,Female,Business,Moderate,Yes,Yes,On-Campus
760,Male,Engineering,Moderate,Yes,No,On-Campus
761,Male,Engineering,Moderate,Yes,No,On-Campus
762,Male,Law,Moderate,Yes,No,Off-Campus
763,Female,Engineering,Moderate,No,No,Off-Campus
765,Male,Computer Science,High,No,No,Off-Campus
766,Male,Engineering,High,Yes,Yes,On-Campus
767,Male,Law,High,Yes,No,On-Campus
771,Male,Others,High,No,No,On-Campus
773,Male,Computer Science,High,Yes,Yes,Off-Campus
774,Female,Engineering,Moderate,No,No,On-Campus
776,Male,Computer Science,Low,No,No,Off-Campus
782,Female,Law,High,Yes,No,On-Campus
789,Female,Engineering,High,No,No,On-Campus
791,Female,Law,High,Yes,No,On-Campus
792,Female,Law,High,Yes,No,Off-Campus
794,Male,Engineering,Moderate,No,Yes,On-Campus
801,Male,Business,Moderate,No,Yes,On-Campus
802,Male,Law,Moderate,Yes,No,On-Campus
803,Male,Computer Science,Low,Yes,Yes,Off-Campus
804,Male,Business,High,Yes,No,Off-Campus
809,Female,Others,High,No,No,On-Campus
810,Female,Law,Moderate,Yes,No,On-Campus
813,Male,Law,Moderate,No,No,Off-Campus
817,Female,Law,Moderate,No,No,On-Campus
818,Female,Law,High,No,No,Off-Campus
819,Male,Others,High,No,Yes,On-Campus
823,Male,Engineering,High,Yes,No,On-Campus
824,Male,Computer Science,Moderate,No,Yes,Off-Campus
826,Female,Law,Moderate,No,No,On-Campus
828,Male,Law,Moderate,Yes,No,On-Campus
829,Female,Engineering,Moderate,No,No,Off-Campus
830,Female,Law,High,No,No,Off-Campus
831,Female,Law,High,No,No,Off-Campus
838,Male,Others,Low,Yes,Yes,Off-Campus
841,Female,Computer Science,Moderate,Yes,No,On-Campus
843,Female,Computer Science,High,No,Yes,Off-Campus
844,Male,Law,Moderate,No,Yes,Off-Campus
846,Male,Computer Science,Low,No,No,Off-Campus
852,Female,Computer Science,Low,No,No,Off-Campus
854,Male,Business,High,Yes,Yes,Off-Campus
856,Male,Computer Science,Low,No,No,Off-Campus
857,Male,Engineering,Low,Yes,No,Off-Campus
859,Male,Computer Science,Moderate,Yes,No,Off-Campus
862,Female,Computer Science,High,Yes,No,Off-Campus
863,Female,Law,Low,Yes,No,Off-Campus
867,Male,Computer Science,Low,Yes,Yes,Off-Campus
875,Male,Computer Science,Low,No,No,Off-Campus
876,Male,Business,Moderate,No,No,On-Campus
878,Male,Engineering,High,Yes,No,Off-Campus
880,Male,Law,Low,No,No,Off-Campus
881,Female,Others,Moderate,No,Yes,Off-Campus
883,Male,Law,Moderate,Yes,No,Off-Campus
886,Male,Computer Science,High,No,No,Off-Campus
887,Female,Law,High,Yes,No,Off-Campus
889,Male,Others,High,No,No,Off-Campus
890,Male,Law,Moderate,No,No,Off-Campus
891,Male,Business,High,Yes,No,On-Campus
892,Male,Computer Science,High,No,Yes,Off-Campus
898,Male,Business,Moderate,No,No,On-Campus
899,Male,Others,Moderate,No,No,Off-Campus
902,Male,Law,Moderate,No,Yes,Off-Campus
904,Female,Engineering,Moderate,Yes,No,Off-Campus
905,Male,Computer Science,Moderate,Yes,Yes,Off-Campus
906,Male,Engineering,Moderate,No,Yes,On-Campus
907,Male,Computer Science,Moderate,No,No,On-Campus
909,Male,Law,High,No,No,On-Campus
920,Male,Others,Moderate,Yes,Yes,On-Campus
922,Female,Law,Low,No,Yes,On-Campus
923,Male,Others,Moderate,No,No,On-Campus
925,Female,Engineering,Moderate,No,No,Off-Campus
926,Female,Computer Science,Moderate,No,No,On-Campus
930,Female,Law,Moderate,Yes,No,Off-Campus
933,Female,Business,Moderate,Yes,No,On-Campus
935,Male,Law,Low,No,Yes,Off-Campus
937,Male,Computer Science,High,Yes,Yes,On-Campus
938,Female,Law,Moderate,No,No,On-Campus
941,Male,Law,Moderate,No,No,On-Campus
943,Female,Law,Low,No,No,On-Campus
944,Female,Others,High,No,Yes,Off-Campus
946,Female,Engineering,High,No,No,Off-Campus
949,Female,Engineering,Moderate,Yes,No,Off-Campus
955,Male,Law,Low,No,No,Off-Campus
959,Female,Computer Science,Moderate,No,No,On-Campus
961,Female,Engineering,High,No,Yes,On-Campus
962,Male,Law,High,No,Yes,Off-Campus
963,Female,Law,Moderate,Yes,Yes,Off-Campus
970,Male,Engineering,High,Yes,Yes,On-Campus
976,Male,Law,Low,No,No,Off-Campus
979,Female,Others,Low,Yes,Yes,Off-Campus
981,Female,Engineering,Low,Yes,No,On-Campus
984,Female,Business,Moderate,Yes,No,On-Campus
985,Female,Law,Moderate,Yes,Yes,Off-Campus
990,Male,Computer Science,High,Yes,Yes,Off-Campus
992,Male,Law,High,No,No,On-Campus
993,Male,Business,Moderate,Yes,No,Off-Campus
994,Female,Others,Low,Yes,No,Off-Campus
996,Female,Law,High,Yes,No,On-Campus
997,Male,Computer Science,Moderate,Yes,Yes,Off-Campus
999,Female,Computer Science,Moderate,No,Yes,On-Campus
1000,Male,Engineering,Low,No,No,Off-Campus
1005,Male,Law,Moderate,No,No,On-Campus
1006,Male,Engineering,Low,Yes,No,Off-Campus
1009,Female,Law,High,No,Yes,On-Campus
1013,Female,Others,Moderate,No,Yes,On-Campus
1014,Female,Others,Moderate,No,No,Off-Campus
1016,Female,Computer Science,High,Yes,Yes,Off-Campus
1017,Male,Engineering,Moderate,No,No,On-Campus
1024,Female,Engineering,Moderate,No,Yes,Off-Campus
1028,Male,Engineering,Moderate,Yes,Yes,On-Campus
1029,Female,Others,Moderate,No,No,On-Campus
1030,Male,Others,Moderate,No,No,Off-Campus
1040,Female,Computer Science,High,Yes,No,Off-Campus
1041,Male,Engineering,High,No,Yes,Off-Campus
1042,Female,Engineering,Low,No,No,Off-Campus
1045,Female,Law,Moderate,No,Yes,Off-Campus
1049,Female,Engineering,High,No,No,On-Campus
1050,Male,Computer Science,High,Yes,Yes,Off-Campus
1051,Female,Business,High,No,No,On-Campus
1052,Female,Engineering,Moderate,Yes,Yes,On-Campus
1055,Male,Computer Science,High,Yes,No,Off-Campus
1057,Female,Computer Science,High,Yes,No,Off-Campus
1060,Female,Engineering,Moderate,No,No,Off-Campus
1061,Female,Computer Science,Moderate,No,Yes,On-Campus
1067,Female,Law,Low,No,Yes,Off-Campus
1068,Male,Law,Moderate,No,No,Off-Campus
1069,Male,Engineering,High,No,No,Off-Campus
1070,Female,Law,Moderate,No,No,Off-Campus
1072,Male,Law,Low,No,No,Off-Campus
1075,Female,Engineering,High,No,Yes,On-Campus
1077,Male,Law,Moderate,No,No,Off-Campus
1079,Female,Computer Science,Moderate,No,No,Off-Campus
1080,Female,Computer Science,Moderate,No,Yes,Off-Campus
1083,Male,Others,High,No,No,On-Campus
1086,Female,Computer Science,Moderate,Yes,Yes,On-Campus
1091,Female,Business,Low,No,No,Off-Campus
1093,Male,Law,High,No,No,On-Campus
1095,Male,Law,Low,Yes,No,Off-Campus
1096,Male,Computer Science,High,Yes,No,On-Campus
1097,Female,Law,Moderate,Yes,No,On-Campus
1098,Male,Law,High,Yes,No,On-Campus
1099,Female,Law,Moderate,No,No,On-Campus
1101,Male,Others,High,Yes,No,Off-Campus
1107,Male,Engineering,Moderate,No,Yes,On-Campus
1108,Male,Computer Science,High,Yes,Yes,On-Campus
1109,Female,Others,Moderate,No,No,On-Campus
1112,Male,Law,Moderate,No,No,Off-Campus
1113,Female,Law,Moderate,Yes,No,Off-Campus
1119,Male,Business,Moderate,No,No,On-Campus
1122,Male,Computer Science,Moderate,No,No,Off-Campus
1123,Male,Computer Science,Moderate,No,No,Off-Campus
1124,Male,Engineering,Low,Yes,No,Off-Campus
1126,Female,Business,Low,No,No,On-Campus
1127,Female,Computer Science,High,No,No,On-Campus
1128,Female,Computer Science,Moderate,No,No,Off-Campus
1132,Female,Law,Low,No,No,Off-Campus
1133,Female,Business,High,No,No,Off-Campus
1134,Female,Engineering,Moderate,No,No,On-Campus
1135,Male,Business,High,Yes,No,On-Campus
1136,Female,Law,Moderate,Yes,No,On-Campus
1139,Male,Computer Science,Moderate,Yes,No,On-Campus
1140,Female,Business,High,Yes,No,Off-Campus
1141,Female,Law,High,Yes,Yes,On-Campus
1149,Female,Law,High,Yes,No,Off-Campus
1155,Male,Others,High,No,No,Off-Campus
1158,Male,Law,High,No,No,On-Campus
1159,Female,Computer Science,High,Yes,No,On-Campus
1161,Male,Business,Moderate,Yes,No,Off-Campus
1163,Male,Law,Moderate,No,No,On-Campus
1165,Female,Business,Low,No,Yes,Off-Campus
1166,Female,Law,Moderate,No,No,Off-Campus
1169,Female,Business,Moderate,No,Yes,Off-Campus
1170,Male,Engineering,Low,No,No,On-Campus
1172,Male,Engineering,High,No,No,On-Campus
1175,Female,Engineering,High,Yes,No,Off-Campus
1180,Female,Law,Moderate,No,No,On-Campus
1181,Male,Others,Moderate,No,Yes,On-Campus
1189,Male,Engineering,Moderate,No,Yes,On-Campus
1192,Male,Engineering,Moderate,No,No,Off-Campus
1198,Female,Engineering,Low,No,No,On-Campus
1203,Male,Computer Science,Moderate,Yes,No,Off-Campus
1204,Male,Engineering,Moderate,No,Yes,Off-Campus
1205,Male,Others,High,Yes,No,Off-Campus
1207,Male,Engineering,Low,Yes,No,Off-Campus
1208,Male,Law,Low,No,No,Off-Campus
1210,Female,Others,Moderate,No,No,On-Campus
1214,Male,Law,Moderate,No,No,On-Campus
1215,Male,Others,Moderate,Yes,No,On-Campus
1217,Female,Engineering,Low,No,No,On-Campus
1220,Male,Computer Science,Moderate,No,No,On-Campus
1222,Female,Engineering,Low,Yes,Yes,Off-Campus
1223,Male,Business,Moderate,No,No,Off-Campus
1224,Male,Law,Moderate,No,Yes,Off-Campus
1225,Female,Law,Low,No,Yes,Off-Campus
1226,Female,Computer Science,Moderate,No,No,Off-Campus
1228,Female,Engineering,Moderate,Yes,Yes,On-Campus
1229,Female,Engineering,High,No,No,On-Campus
1230,Female,Law,Moderate,Yes,No,On-Campus
1231,Male,Engineering,Moderate,No,No,On-Campus
1236,Female,Others,Low,Yes,Yes,Off-Campus
1240,Female,Others,Low,Yes,No,On-Campus
1242,Female,Law,Moderate,No,No,On-Campus
1243,Male,Law,Moderate,No,Yes,On-Campus
1244,Male,Business,Moderate,Yes,No,On-Campus
1245,Female,Law,Moderate,No,No,On-Campus
1246,Female,Law,High,No,Yes,On-Campus
1251,Female,Others,Low,No,No,On-Campus
1252,Male,Law,High,No,No,On-Campus
1253,Male,Computer Science,Moderate,Yes,Yes,Off-Campus
1255,Male,Computer Science,High,Yes,No,On-Campus
1258,Female,Engineering,Moderate,No,Yes,Off-Campus
1259,Male,Law,High,No,No,Off-Campus
1260,Male,Computer Science,Moderate,Yes,No,On-Campus
1261,Female,Engineering,Moderate,Yes,No,On-Campus
1262,Male,Law,High,No,No,Off-Campus
1263,Male,Law,Low,No,No,On-Campus
1266,Male,Business,High,No,No,Off-Campus
1267,Male,Engineering,Moderate,No,Yes,Off-Campus
1268,Male,Business,High,No,Yes,Off-Campus
1269,Female,Law,Moderate,No,No,On-Campus
1271,Male,Engineering,Moderate,No,No,Off-Campus
1273,Female,Computer Science,Moderate,Yes,Yes,Off-Campus
1275,Male,Computer Science,Moderate,No,No,Off-Campus
1277,Female,Computer Science,High,No,No,On-Campus
1278,Female,Computer Science,High,Yes,No,Off-Campus
1283,Male,Others,Low,No,No,On-Campus
1289,Female,Computer Science,Moderate,No,No,On-Campus
1291,Male,Computer Science,High,No,No,Off-Campus
1292,Female,Others,High,No,No,On-Campus
1294,Female,Business,Low,Yes,Yes,Off-Campus
1296,Male,Law,Moderate,Yes,No,Off-Campus
1298,Male,Others,Moderate,No,No,Off-Campus
1302,Male,Others,Moderate,No,No,Off-Campus
1305,Male,Law,High,No,Yes,On-Campus
1307,Male,Engineering,High,Yes,Yes,On-Campus
1308,Male,Law,High,No,Yes,On-Campus
1310,Female,Others,Moderate,No,Yes,On-Campus
1313,Male,Computer Science,Low,Yes,Yes,On-Campus
1316,Female,Engineering,High,No,Yes,Off-Campus
1319,Female,Engineering,Moderate,No,No,Off-Campus
1320,Male,Law,High,No,No,On-Campus
1321,Male,Computer Science,Moderate,No,No,Off-Campus
1322,Male,Law,Moderate,Yes,No,On-Campus
1324,Male,Law,Moderate,Yes,No,Off-Campus
1327,Female,Law,Low,No,Yes,Off-Campus
1328,Female,Computer Science,Moderate,Yes,Yes,Off-Campus
